Дата i час операції,Деталі операції,MCC,Сума в валюті картки (UAH),Сума в валюті операції,Валюта,Курс,Сума комісій (UAH),Сума кешбеку (UAH)
31.12.2025 12:53:20,UPG,5541,-2046.19,-2046.19,UAH,—,—,—
31.12.2025 11:59:00,Magazin DELIKAT MARKET,5499,-127.48,-127.48,UAH,—,—,1.27
29.12.2025 19:35:44,Від: Особа_3,4829,2000.0,2000.0,UAH,—,—,—
29.12.2025 17:00:01,Епіцентр,5211,-202.3,-202.3,UAH,—,—,—
29.12.2025 12:22:10,Там Там,5499,-119.61,-119.61,UAH,—,—,0.89
28.12.2025 13:05:11,АТБ,5499,-1364.4,-1364.4,UAH,—,—,13.49
27.12.2025 11:11:42,BarbershopGC,7230,-700.0,-700.0,UAH,—,—,—
25.12.2025 14:10:14,Від: Особа_3,4829,170.0,170.0,UAH,—,—,—
25.12.2025 14:02:21,Термінал mono,4829,5000.0,5000.0,UAH,—,—,—
25.12.2025 13:56:36,Там Там,5499,-175.6,-175.6,UAH,—,—,1.31
25.12.2025 13:34:31,Від: Особа_3,4829,1000.0,1000.0,UAH,—,—,—
24.12.2025 18:12:25,Kvtkovii magazin Tsvt,5992,-1270.0,-1270.0,UAH,—,—,—
23.12.2025 17:30:50,Там Там,5499,-346.48,-346.48,UAH,—,—,2.59
22.12.2025 16:54:16,Там Там,5499,-133.63,-133.63,UAH,—,—,1.0
22.12.2025 12:12:12,Там Там,5499,-111.37,-111.37,UAH,—,—,0.83
20.12.2025 07:53:52,АТБ,5411,-107.6,-107.6,UAH,—,—,0.8
19.12.2025 16:57:18,Там Там,5499,-319.3,-319.3,UAH,—,—,2.39
19.12.2025 12:11:17,Там Там,5499,-116.11,-116.11,UAH,—,—,0.87
18.12.2025 18:32:05,Там Там,5499,-63.8,-63.8,UAH,—,—,0.47
18.12.2025 12:35:03,АТБ,5499,-418.09,-418.09,UAH,—,—,3.13
17.12.2025 12:13:31,Domashnii,5499,-82.0,-82.0,UAH,—,—,0.61
16.12.2025 08:04:52,Погашення наступного платежу CITRUS - monomarket,4829,-399.93,-399.93,UAH,—,—,—
16.12.2025 08:04:43,Погашення наступного платежу CITRUS - monomarket,4829,-1499.86,-1499.86,UAH,—,—,—
16.12.2025 08:04:18,Погашення наступного платежу КТС - monomarket,4829,-3779.8,-3779.8,UAH,—,—,—
16.12.2025 08:04:12,Погашення наступного платежу КТС - monomarket,4829,-899.9,-899.9,UAH,—,—,—
16.12.2025 07:44:33,Термінал EasyPay,4829,7700.0,7700.0,UAH,—,—,—
15.12.2025 18:39:29,Від: Особа_3,4829,70.0,70.0,UAH,—,—,—
15.12.2025 18:39:13,Temu,5311,-70.33,-1.66,USD,42.3674,—,—
15.12.2025 18:06:26,Temu,5311,-986.36,-23.28,USD,42.3694,—,—
15.12.2025 12:07:57,Domashnii,5499,-129.0,-129.0,UAH,—,—,0.96
13.12.2025 17:08:42,Там Там,5499,-409.46,-409.46,UAH,—,—,3.07
13.12.2025 16:51:24,Аврора,5310,-106.0,-106.0,UAH,—,—,—
13.12.2025 12:11:43,Там Там,5499,-81.7,-81.7,UAH,—,—,0.61
13.12.2025 07:42:56,ТЕРЦІЯ ЛТД,5411,-64.0,-64.0,UAH,—,—,0.48
12.12.2025 12:19:02,Там Там,5499,-72.7,-72.7,UAH,—,—,0.54
10.12.2025 16:31:30,UPG,5541,-1767.0,-1767.0,UAH,—,—,—
10.12.2025 12:12:32,Там Там,5499,-59.8,-59.8,UAH,—,—,0.59
09.12.2025 16:58:17,Volynfarm,5912,-533.3,-533.3,UAH,—,—,—
09.12.2025 16:53:56,Там Там,5499,-129.33,-129.33,UAH,—,—,1.29
09.12.2025 12:08:03,Там Там,5499,-110.27,-110.27,UAH,—,—,1.1
08.12.2025 12:12:19,Produkti,5499,-164.9,-164.9,UAH,—,—,1.64
07.12.2025 19:18:34,Щодня,5399,-29.0,-29.0,UAH,—,—,0.29
07.12.2025 17:17:29,Там Там,5499,-137.49,-137.49,UAH,—,—,1.37
07.12.2025 17:08:33,Копійочка,5399,-49.8,-49.8,UAH,—,—,0.49
07.12.2025 14:53:59,Епіцентр,5211,-780.0,-780.0,UAH,—,—,—
07.12.2025 10:23:52,Київстар +380XXXXXXXXX,4814,-300.0,-300.0,UAH,—,—,—
06.12.2025 17:49:28,Виведення кешбеку 108.91₴,4829,83.86,83.86,UAH,—,—,—
06.12.2025 16:32:55,Там Там,5499,-308.74,-308.74,UAH,—,—,3.08
05.12.2025 13:13:36,Там Там,5499,-158.7,-158.7,UAH,—,—,1.58
04.12.2025 16:42:25,Там Там,5499,-153.13,-153.13,UAH,—,—,1.53
04.12.2025 12:05:20,Там Там,5499,-94.61,-94.61,UAH,—,—,0.94
03.12.2025 12:11:35,Produkti,5499,-94.96,-94.96,UAH,—,—,0.94
02.12.2025 16:56:33,Там Там,5499,-157.13,-157.13,UAH,—,—,1.57
02.12.2025 16:48:10,Термінал mono,4829,8400.0,8400.0,UAH,—,—,—
02.12.2025 12:08:02,Там Там,5499,-97.83,-97.83,UAH,—,—,0.73
01.12.2025 16:47:13,Там Там,5499,-68.19,-68.19,UAH,—,—,—
01.12.2025 12:11:53,Domashnii,5499,-71.0,-71.0,UAH,—,—,—
01.12.2025 11:51:20,Платіж КТС - monomarket,4829,-899.9,-899.9,UAH,—,—,—
01.12.2025 06:02:03,Vodafone +380XXXXXXXXX,4814,-200.0,-200.0,UAH,—,—,—
30.11.2025 12:06:17,Temu,5311,-650.02,-15.28,USD,42.5405,—,4.87
29.11.2025 15:56:19,Погашення наступного платежу CITRUS - monomarket,4829,-1499.86,-1499.86,UAH,—,—,—
29.11.2025 15:56:09,Погашення наступного платежу КТС - monomarket,4829,-3779.8,-3779.8,UAH,—,—,—
29.11.2025 15:55:13,Термінал mono,4829,5700.0,5700.0,UAH,—,—,—
29.11.2025 11:02:36,BarbershopGC,7230,-700.0,-700.0,UAH,—,—,—
28.11.2025 12:17:13,Domashnii,5499,-178.0,-178.0,UAH,—,—,1.33
27.11.2025 12:12:31,Domashnii,5499,-82.0,-82.0,UAH,—,—,0.61
26.11.2025 13:20:39,Там Там,5499,-463.61,-463.61,UAH,—,—,3.47
26.11.2025 13:08:43,Українські Ковбаси,5499,-200.07,-200.07,UAH,—,—,1.5
25.11.2025 12:12:05,Domashnii,5499,-92.0,-92.0,UAH,—,—,0.69
24.11.2025 12:54:18,АТБ,5499,-47.0,-47.0,UAH,—,—,0.35
24.11.2025 12:29:27,Kvtkovii magazin Tsvt,5992,-825.0,-825.0,UAH,—,—,—
23.11.2025 16:19:30,Volynfarm,5912,-35.0,-35.0,UAH,—,—,—
23.11.2025 16:17:04,Там Там,5499,-222.78,-222.78,UAH,—,—,2.22
23.11.2025 16:04:32,Від: Особа_3,4829,100.0,100.0,UAH,—,—,—
22.11.2025 17:13:21,АТБ,5411,-157.9,-157.9,UAH,—,—,1.57
22.11.2025 16:28:54,Kvtkovii magazin Tsvt,5992,-560.0,-560.0,UAH,—,—,—
22.11.2025 14:05:14,Табакерка,5993,-125.0,-125.0,UAH,—,—,—
22.11.2025 14:04:29,Табакерка,5993,-700.0,-700.0,UAH,—,—,—
22.11.2025 14:02:48,Термінал А-Банку,4829,2100.0,2100.0,UAH,—,—,—
21.11.2025 21:35:07,Особа_4,4829,-20.0,-20.0,UAH,—,—,—
21.11.2025 19:00:38,Особа_4,4829,-10.0,-10.0,UAH,—,—,—
21.11.2025 16:34:29,UPG,5541,-2329.5,-2329.5,UAH,—,—,—
21.11.2025 12:13:29,Produkti,5499,-116.0,-116.0,UAH,—,—,1.16
20.11.2025 16:53:32,Там Там,5499,-258.2,-258.2,UAH,—,—,2.58
20.11.2025 12:12:33,Domashnii,5499,-88.0,-88.0,UAH,—,—,0.88
19.11.2025 12:13:33,Domashnii,5499,-137.0,-137.0,UAH,—,—,1.37
18.11.2025 12:20:09,Там Там,5499,-78.53,-78.53,UAH,—,—,0.78
17.11.2025 20:16:23,Там Там,5499,-99.8,-99.8,UAH,—,—,0.99
17.11.2025 12:33:41,Термінал mono,4829,1900.0,1900.0,UAH,—,—,—
17.11.2025 12:32:21,Palianytsia mar,5499,-65.0,-65.0,UAH,—,—,0.65
16.11.2025 15:25:53,Там Там,5499,-175.7,-175.7,UAH,—,—,1.75
15.11.2025 14:32:33,Там Там,5499,-211.6,-211.6,UAH,—,—,2.11
14.11.2025 18:04:39,Там Там,5499,-255.6,-255.6,UAH,—,—,2.55
14.11.2025 16:32:25,Martsypan,5499,-34.0,-34.0,UAH,—,—,0.34
14.11.2025 12:19:32,Там Там,5499,-107.08,-107.08,UAH,—,—,1.07
